"","flu_A","flu_B","year","week"
"1",18,4,"2014",23
"2",12,3,"2014",24
"3",6,2,"2014",25
"4",8,3,"2014",26
"5",9,2,"2014",27
"6",4,2,"2014",28
"7",3,1,"2014",29
"8",13,2,"2014",30
"9",2,0,"2014",31
"10",4,2,"2014",32
"11",10,0,"2014",33
"12",13,1,"2014",34
"13",8,4,"2014",35
"14",3,1,"2014",36
"15",5,2,"2014",37
"16",0,0,"2014",38
"17",4,0,"2014",39
"18",6,2,"2014",40
"19",7,1,"2014",41
"20",6,5,"2014",42
"21",13,2,"2014",43
"22",14,4,"2014",44
"23",8,2,"2014",45
"24",10,6,"2014",46
"25",10,2,"2014",47
"26",15,3,"2014",48
"27",57,15,"2014",49
"28",64,8,"2014",50
"29",165,12,"2014",51
"30",269,12,"2014",52
"31",594,24,"2015",1
"32",847,25,"2015",2
"33",581,17,"2015",3
"34",507,19,"2015",4
"35",606,21,"2015",5
"36",425,71,"2015",6
"37",270,17,"2015",7
"38",406,69,"2015",8
"39",344,54,"2015",9
"40",178,83,"2015",10
"41",283,125,"2015",11
"42",124,79,"2015",12
"43",171,149,"2015",13
"44",87,118,"2015",14
"45",39,109,"2015",15
"46",97,194,"2015",16
"47",62,155,"2015",17
"48",8,57,"2015",18
"49",11,48,"2015",19
"50",23,83,"2015",20
"51",13,40,"2015",21
"52",8,13,"2015",22
"53",7,29,"2015",23
"54",8,54,"2015",24
"55",19,18,"2015",25
"56",8,6,"2015",26
"57",15,10,"2015",27
"58",8,16,"2015",28
"59",4,1,"2015",29
"60",4,8,"2015",30
"61",6,7,"2015",31
"62",10,4,"2015",32
"63",6,4,"2015",33
"64",4,0,"2015",34
"65",5,2,"2015",35
"66",3,3,"2015",36
"67",4,2,"2015",37
"68",17,4,"2015",38
"69",8,3,"2015",39
"70",12,1,"2015",40
"71",31,9,"2015",41
"72",8,6,"2015",42
"73",15,9,"2015",43
"74",17,10,"2015",44
"75",35,13,"2015",45
"76",21,11,"2015",46
"77",18,4,"2015",47
"78",21,11,"2015",48
"79",37,15,"2015",49
"80",25,9,"2015",50
"81",75,10,"2015",51
"82",94,10,"2015",52
"83",119,14,"2015",53
"84",228,18,"2016",1
"85",180,23,"2016",2
"86",325,31,"2016",3
"87",465,26,"2016",4
"88",562,57,"2016",5
"89",506,56,"2016",6
"90",630,54,"2016",7
"91",737,98,"2016",8
"92",722,147,"2016",9
"93",809,225,"2016",10
"94",782,324,"2016",11
"95",529,370,"2016",12
"96",503,427,"2016",13
"97",378,400,"2016",14
"98",374,324,"2016",15
"99",158,251,"2016",16
"100",125,198,"2016",17
"101",150,213,"2016",18
"102",60,106,"2016",19
"103",32,57,"2016",20
"104",31,61,"2016",21
"105",31,39,"2016",22
"106",42,52,"2016",23
"107",11,7,"2016",24
"108",12,6,"2016",25
"109",7,6,"2016",26
"110",13,3,"2016",27
"111",9,5,"2016",28
"112",19,7,"2016",29
"113",7,1,"2016",30
"114",17,5,"2016",31
"115",13,1,"2016",32
"116",12,1,"2016",33
"117",16,4,"2016",34
"118",14,3,"2016",35
"119",22,5,"2016",36
"120",9,4,"2016",37
"121",18,3,"2016",38
"122",16,0,"2016",39
"123",29,13,"2016",40
"124",8,1,"2016",41
"125",12,6,"2016",42
"126",12,1,"2016",43
"127",33,8,"2016",44
"128",31,3,"2016",45
"129",51,6,"2016",46
"130",37,7,"2016",47
"131",74,4,"2016",48
"132",145,7,"2016",49
"133",260,7,"2016",50
"134",475,8,"2016",51
"135",530,9,"2016",52
"136",891,8,"2017",1
"137",1249,29,"2017",2
"138",897,10,"2017",3
"139",998,23,"2017",4
"140",1277,42,"2017",5
"141",789,22,"2017",6
"142",550,30,"2017",7
"143",589,34,"2017",8
"144",518,36,"2017",9
"145",332,29,"2017",10
"146",121,15,"2017",11
"147",236,29,"2017",12
"148",117,46,"2017",13
"149",159,65,"2017",14
"150",31,25,"2017",15
"151",41,51,"2017",16
"152",45,53,"2017",17
"153",33,54,"2017",18
"154",23,65,"2017",19
"155",23,53,"2017",20
"156",27,76,"2017",21
"157",14,33,"2017",22
"158",14,21,"2017",23
"159",11,23,"2017",24
"160",14,8,"2017",25
"161",11,7,"2017",26
"162",21,5,"2017",27
"163",13,5,"2017",28
"164",18,6,"2017",29
"165",12,1,"2017",30
"166",16,6,"2017",31
"167",19,10,"2017",32
"168",15,6,"2017",33
"169",25,4,"2017",34
"170",31,5,"2017",35
"171",19,9,"2017",36
"172",42,14,"2017",37
"173",29,11,"2017",38
"174",27,7,"2017",39
"175",32,11,"2017",40
"176",37,16,"2017",41
"177",27,7,"2017",42
"178",34,10,"2017",43
"179",30,12,"2017",44
"180",40,11,"2017",45
"181",65,22,"2017",46
"182",69,29,"2017",47
"183",109,33,"2017",48
"184",175,72,"2017",49
"185",200,161,"2017",50
"186",472,486,"2017",51
"187",575,786,"2017",52
"188",1170,1502,"2018",1
"189",1636,2019,"2018",2
"190",1397,1901,"2018",3
"191",1494,2172,"2018",4
"192",1292,1705,"2018",5
"193",1912,1546,"2018",6
"194",1258,1308,"2018",7
"195",1696,1503,"2018",8
"196",1350,1154,"2018",9
"197",1502,1076,"2018",10
"198",1519,1045,"2018",11
"199",1169,545,"2018",12
"200",891,342,"2018",13
"201",984,354,"2018",14
"202",610,179,"2018",15
"203",296,113,"2018",16
"204",624,372,"2018",17
"205",118,23,"2018",18
"206",72,26,"2018",19
"207",50,17,"2018",20
"208",25,5,"2018",21
"209",23,2,"2018",22
"210",21,4,"2018",23
"211",9,5,"2018",24
"212",14,5,"2018",25
"213",6,5,"2018",26
"214",18,4,"2018",27
"215",11,2,"2018",28
"216",12,0,"2018",29
"217",6,1,"2018",30
"218",14,4,"2018",31
"219",12,5,"2018",32
"220",17,6,"2018",33
"221",6,4,"2018",34
"222",5,2,"2018",35
"223",28,8,"2018",36
"224",34,3,"2018",37
"225",13,7,"2018",38
"226",12,3,"2018",39
"227",16,8,"2018",40
"228",23,0,"2018",41
"229",17,6,"2018",42
"230",34,8,"2018",43
"231",49,11,"2018",44
"232",69,10,"2018",45
"233",98,9,"2018",46
"234",96,11,"2018",47
"235",164,11,"2018",48
"236",226,11,"2018",49
"237",298,17,"2018",50
"238",653,21,"2018",51
"239",870,13,"2018",52
"240",1851,27,"2019",1
"241",2465,38,"2019",2
"242",2466,29,"2019",3
"243",2586,31,"2019",4
"244",3227,40,"2019",5
"245",3448,19,"2019",6
"246",3354,35,"2019",7
"247",2715,23,"2019",8
"248",2045,22,"2019",9
"249",1170,18,"2019",10
"250",863,13,"2019",11
"251",914,10,"2019",12
"252",682,17,"2019",13
"253",568,20,"2019",14
"254",603,12,"2019",15
"255",438,9,"2019",16
"256",393,15,"2019",17
"257",254,15,"2019",18
"258",123,6,"2019",19
"259",96,11,"2019",20
"260",101,8,"2019",21
"261",50,9,"2019",22
"262",82,12,"2019",23
"263",47,6,"2019",24
"264",37,12,"2019",25
"265",29,8,"2019",26
"266",50,9,"2019",27
"267",31,4,"2019",28
"268",37,9,"2019",29
"269",34,9,"2019",30
"270",23,8,"2019",31
"271",24,1,"2019",32
"272",27,6,"2019",33
"273",51,8,"2019",34
"274",53,2,"2019",35
