,GP ILI consulation rates (all ages),,,,,,,,,,,,,,,,,,,,,,,
Week ,England (RGCP),Wales,Scotland,Northern Ireland,,,,,,,,,,,,,,,,,,,,
40,6.8,5.7,10,3.4,,,,,,,,,,,,,,,,,,,,
41,5.4,6.5,15.3,3.9,,,,,,,,,,,,,,,,,,,,
42,5.9,6.6,8.3,3.7,,,,,,,,,,,,,,,,,,,,
43,6.1,5.4,10.8,3.3,,,,,,,,,,,,,,,,,,,,
44,5,5,12.4,4,,,,,,,,,,,,,,,,,,,,
45,6.4,5.4,11.7,3.6,,,,,,,,,,,,,,,,,,,,
46,5.9,6.2,10.3,4.5,,,,,,,,,,,,,,,,,,,,
47,7.3,6.4,9.1,5.3,,,,,,,,,,,,,,,,,,,,
48,7.6,5.9,9.4,4,,,,,,,,,,,,,,,,,,,,
49,8.5,6.4,18.4,8.2,,,,,,,,,,,,,,,,,,,,
50,11.4,8.7,32.5,10.1,,,,,,,,,,,,,,,,,,,,
51,18.9,13.2,40,20.7,,,,,,,,,,,,,,,,,,,,
52,21,17.7,46.3,22.7,,,,,,,,,,,,,,,,,,,,
1,37.3,36.4,107.2,52.6,,,,,,,,,,,,,,,,,,,,
2,53.1,62,113.9,65.2,,,,,,,,,,,,,,,,,,,,
3,54.1,74.6,102.1,52.1,,,,,,,,,,,,,,,,,,,,
4,52.1,52.9,82.3,44.2,,,,,,,,,,,,,,,,,,,,
5,43,52.4,45.5,29,,,,,,,,,,,,,,,,,,,,
6,34,44.3,30.3,30.6,,,,,,,,,,,,,,,,,,,,
7,29.1,42.5,39.4,25.2,,,,,,,,,,,,,,,,,,,,
8,29.1,33.3,35.1,23.6,,,,,,,,,,,,,,,,,,,,
9,18.3,25.9,28.5,16.7,,,,,,,,,,,,,,,,,,,,
10,20.3,24.6,24.9,18.3,,,,,,,,,,,,,,,,,,,,
11,18.6,17.3,26.4,18.3,,,,,,,,,,,,,,,,,,,,
12,13.5,11.3,18.7,13,,,,,,,,,,,,,,,,,,,,
13,9.9,5.9,9.4,11.7,,,,,,,,,,,,,,,,,,,,
14,8,8.8,9.5,6,,,,,,,,,,,,,,,,,,,,
15,7.6,5.9,9.4,6.5,,,,,,,,,,,,,,,,,,,,
16,4,3.2,8.3,5.3,,,,,,,,,,,,,,,,,,,,
17,3.4,2.2,10.3,3.3,,,,,,,,,,,,,,,,,,,,
18,3.1,2.3,2.1,3.5,,,,,,,,,,,,,,,,,,,,
19,1,1.1,1.3,2.3,,,,,,,,,,,,,,,,,,,,
20,2.3,0.9,2,2.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
