Year,Week,age_15,age_adult,age_65,age_all
2017,40,287,757,771,680
2017,41,213,650,449,542
2017,42,325,698,458,594
2017,43,217,727,570,614
2017,44,188,608,410,501
2017,45,319,740,554,737
2017,46,355,724,277,585
2017,47,355,904,414,727
2017,48,393,885,630,758
2017,49,547,1047,386,848
2017,50,1047,1266,753,1141
2017,51,1118,2233,1358,1894
2017,52,948,2523,1599,2099
2018,1,1400,4332,3727,3733
2018,2,1956,6086,5630,5313
2018,3,3475,5886,5468,5409
2018,4,3801,5764,4474,5211
2018,5,3224,4879,3124,4301
2018,6,2565,3790,2693,3396
2018,7,1088,3541,2276,2911
2018,8,1400,3391,2541,2909
2018,9,963,2129,1563,1835
2018,10,1152,2267,1980,2029
2018,11,1108,2134,1550,1860
2018,12,637,1553,1245,1345
2018,13,515,1165,799,993
2018,14,171,954,852,804
2018,15,173,878,868,757
2018,16,138,441,519,403
2018,17,168,357,476,345
2018,18,70,401,175,306
2018,19,35,134,35,101
2018,20,101,293,100,226
