country;group;week;zscore
UK (England);Total;2017-03;4.6
UK (England);Total;2017-04;4.75
UK (England);Total;2017-05;4.7
UK (England);Total;2017-06;2.11
UK (England);Total;2017-07;2.96
UK (England);Total;2017-08;0.7
UK (England);Total;2017-09;0.82
UK (England);Total;2017-10;-0.3
UK (England);Total;2017-11;-2.34
UK (England);Total;2017-12;-2.92
UK (England);Total;2017-13;-1.3
UK (England);Total;2017-14;-2.42
UK (England);Total;2017-15;-2.16
UK (England);Total;2017-16;-1.87
UK (England);Total;2017-17;0.11
UK (England);Total;2017-18;0.56
UK (England);Total;2017-19;1.02
UK (England);Total;2017-20;0.89
UK (England);Total;2017-21;1.48
UK (England);Total;2017-22;-1.84
UK (England);Total;2017-23;-1.07
UK (England);Total;2017-24;1.45
UK (England);Total;2017-25;2.04
UK (England);Total;2017-26;-0.36
UK (England);Total;2017-27;1.08
UK (England);Total;2017-28;-0.71
UK (England);Total;2017-29;-0.26
UK (England);Total;2017-30;-0.13
UK (England);Total;2017-31;-0.09
UK (England);Total;2017-32;0.92
UK (England);Total;2017-33;0.67
UK (England);Total;2017-34;1.11
UK (England);Total;2017-35;-0.8
UK (England);Total;2017-36;0.33
UK (England);Total;2017-37;-0.18
UK (England);Total;2017-38;1.05
UK (England);Total;2017-39;1.2
UK (England);Total;2017-40;0.57
UK (England);Total;2017-41;1.06
UK (England);Total;2017-42;0.11
UK (England);Total;2017-43;-0.55
UK (England);Total;2017-44;-0.34
UK (England);Total;2017-45;-0.37
UK (England);Total;2017-46;0.12
UK (England);Total;2017-47;1.2
UK (England);Total;2017-48;0.96
UK (England);Total;2017-49;2.71
UK (England);Total;2017-50;4.32
UK (England);Total;2017-51;6.39
UK (England);Total;2017-52;7.58
UK (England);Total;2018-01;10.13
UK (England);Total;2018-02;8.56
UK (England);Total;2018-03;8.42
UK (England);Total;2018-04;6.92
UK (England);Total;2018-05;4.57
UK (England);Total;2018-06;3.38
UK (England);Total;2018-07;4.53
UK (England);Total;2018-08;3.53
UK (England);Total;2018-09;5.81
UK (England);Total;2018-10;6.87
UK (England);Total;2018-11;3.69
UK (England);Total;2018-12;3.34
UK (England);Total;2018-13;2.61
UK (England);Total;2018-14;1.26
UK (England);Total;2018-15;0.67
UK (England);Total;2018-16;-0.78
UK (England);Total;2018-17;-1.65
UK (England);Total;2018-18;-0.77
UK (England);Total;2018-19;-0.82
UK (England);Total;2018-20;-1.09
UK (England);Total;2018-21;-0.59
UK (England);Total;2018-22;-0.22
UK (England);Total;2018-23;-1.44
UK (England);Total;2018-24;-0.17
UK (England);Total;2018-25;-0.82
UK (England);Total;2018-26;1.77
UK (England);Total;2018-27;1.32
UK (England);Total;2018-28;-0.16
UK (England);Total;2018-29;0.2
UK (England);Total;2018-30;1.87
UK (England);Total;2018-31;-0.08
UK (England);Total;2018-32;-1.03
UK (England);Total;2018-33;-1.04
UK (England);Total;2018-34;-1.66
UK (England);Total;2018-35;-0.98
UK (England);Total;2018-36;-1.22
UK (England);Total;2018-37;-1.05
UK (England);Total;2018-38;-0.94
UK (England);Total;2018-39;-0.25
UK (England);Total;2018-40;-0.85
UK (England);Total;2018-41;0.74
UK (England);Total;2018-42;-2.51
UK (England);Total;2018-43;-2.32
UK (England);Total;2018-44;0.05
UK (England);Total;2018-45;-0.39
UK (England);Total;2018-46;-2.15
UK (England);Total;2018-47;-2.23
UK (England);Total;2018-48;-1.12
UK (England);Total;2018-49;-1.39
UK (England);Total;2018-50;-1.45
UK (England);Total;2018-51;-0.13
UK (England);Total;2018-52;-0.1
UK (England);Total;2019-01;0.85
UK (England);Total;2019-02;1.49
UK (England);Total;2019-03;1.35
UK (England);Total;2019-04;1.52
UK (England);Total;2019-05;1.96
UK (England);Total;2019-06;2.76
UK (England);Total;2019-07;1.17
UK (England);Total;2019-08;-0.14
UK (England);Total;2019-09;-0.12
UK (England);Total;2019-10;-1.14
UK (England);Total;2019-11;-1.34
UK (England);Total;2019-12;-2.14
UK (England);Total;2019-13;-2.87
UK (England);Total;2019-14;-0.15
UK (England);Total;2019-15;0.27
UK (England);Total;2019-16;1.56
UK (England);Total;2019-17;0.37
UK (England);Total;2019-18;-1.17
UK (England);Total;2019-19;-0.71
UK (England);Total;2019-20;0.31
UK (England);Total;2019-21;1.14
UK (England);Total;2019-22;-0.04
UK (England);Total;2019-23;-0.85
UK (England);Total;2019-24;0.39
UK (England);Total;2019-25;0.17
UK (England);Total;2019-26;0.59
UK (England);Total;2019-27;0.59
UK (England);Total;2019-28;0
UK (England);Total;2019-29;-0.14
UK (England);Total;2019-30;2.92
UK (England);Total;2019-31;0.29
UK (England);Total;2019-32;-0.55
UK (England);Total;2019-33;-0.61
UK (England);Total;2019-34;0.57
UK (England);Total;2019-35;0.41
UK (England);Total;2019-36;-0.84
UK (England);Total;2019-37;0.6
UK (England);Total;2019-38;0.15
UK (England);Total;2019-39;0.45
UK (England);Total;2019-40;0.39
UK (England);Total;2019-41;1.72
UK (England);Total;2019-42;0.94
UK (England);Total;2019-43;0.89
UK (England);Total;2019-44;1.87
UK (England);Total;2019-45;0.69
UK (England);Total;2019-46;1.62
UK (England);Total;2019-47;2.55
UK (England);Total;2019-48;0.31
UK (England);Total;2019-49;1.95
UK (England);Total;2019-50;2.79
